Player Name,Team,Opponent,Prop Category,Prop Line,Model_Pred,Model_Conf,Edge_Type,Consistency_CV,Active_Hit%,Tier,GAME_DATE,Match_Date,Actual Value,Result,Mapped_Prop
Jaylen Brown,BOS,DAL,AST,4.5,5.78,0.53,Over,0.762,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,AST
Grant Williams,CHA,MIA,PTS,4.5,6.86,0.53,Over,0.574,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Kevin Durant,HOU,POR,PR,33.5,35.63,0.53,Under,0.543,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Jalen Green,PHX,NOP,PR,22.5,23.09,0.53,Under,0.457,90.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Keldon Johnson,SA,LAC,PA,12.5,13.21,0.53,Under,0.717,80.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Marcus Smart,LAL,IND,RA,5.5,6.05,0.529,Over,0.417,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Jalen Suggs,ORL,MIN,REB,2.5,3.25,0.529,Under,1.024,70.0,Pass / Too Volatile,2026-03-07,2026-03-07,None,Pending / Not Found,REB
Jaden McDaniels,MIN,ORL,PA,16.5,17.74,0.529,Under,0.464,40.0,Pass / Too Volatile,2026-03-07,2026-03-07,None,Pending / Not Found,PA
Julian Strawther,DEN,NYK,AST,0.5,1.04,0.529,Over,0.843,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,AST
Dejounte Murray,NO,PHX,PTS,14.5,15.36,0.528,Under,0.458,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Alperen Sengun,HOU,POR,RA,15.5,15.95,0.528,Under,0.529,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Tyler Herro,MIA,CHA,REB,3.5,3.95,0.528,Over,0.681,20.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Alperen Sengun,HOU,POR,PRA,35.5,39.39,0.528,Over,0.544,20.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Bennedict Mathurin,LAC,SAS,PR,23.5,25.71,0.528,Over,0.412,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Cooper Flagg,DAL,BOS,REB,5.0,6.33,0.527,Over,0.485,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Jamal Murray,DEN,NYK,PR,28.5,33.33,0.527,Over,0.566,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Grant Williams,CHA,MIA,REB,3.5,4.04,0.526,Over,0.568,20.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Anthony Edwards,MIN,ORL,RA,8.5,9.07,0.526,Over,0.366,10.0,Pass / Too Volatile,2026-03-07,2026-03-07,None,Pending / Not Found,RA
Anthony Black,ORL,MIN,REB,2.5,2.92,0.526,Over,0.54,40.0,Pass / Too Volatile,2026-03-07,2026-03-07,None,Pending / Not Found,REB
Anthony Edwards,MIN,ORL,PA,32.5,35.67,0.525,Over,0.445,40.0,Pass / Too Volatile,2026-03-07,2026-03-07,None,Pending / Not Found,PA
Dwight Powell,DAL,BOS,PR,11.5,13.39,0.524,Under,2.451,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Cooper Flagg,DAL,BOS,PRA,26.5,31.26,0.523,Over,0.466,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Andrew Nembhard,IND,LAL,REB,2.5,2.9,0.523,Over,0.685,30.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Zion Williamson,NO,PHX,PRA,28.5,30.72,0.523,Over,0.261,30.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Oso Ighodaro,PHX,NOP,AST,2.5,2.88,0.523,Over,0.516,70.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,AST
Julian Strawther,DEN,NYK,PA,8.5,11.22,0.522,Over,0.517,70.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Micah Potter,IND,LAL,PA,10.5,11.49,0.522,Under,0.455,10.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Jamal Murray,DEN,NYK,PTS,23.5,27.82,0.521,Over,0.662,40.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Carter Bryant,SA,LAC,PRA,12.5,14.09,0.521,Under,0.948,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Klay Thompson,DAL,BOS,RA,2.5,2.93,0.521,Over,0.316,0.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,RA
